"Publication Type","Authors","Book Authors","Group Authors","Book Group Authors","Researcher Ids","ORCIDs","Book Editors","Author - Arabic","Grant Principal Investigator","Grant Co Principal Investigator","Article Title","Article Title - SciELO...13","Article Title - SciELO...14","Article Title - Chinese","Article Title - Russian","Patent Number","Patent Assignee","Source Title - Arabic","Source Title","Source Title - Korean","Book Series Title","Book Series Subtitle","Volume","Issue","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","Version","Version History","DOI","Book DOI","License Name","License URI","License Description","Early Access Date","Supplement","Document Type","Publication Date","Publication Year","Abstract","Abstract - Foreign...44","Abstract - English Transliteration","Abstract - Foreign...46","Abstract - Korean","Conference Title","Conference Date","Conference Sponsor","Conference Location","Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","ISSN","eISSN","ISBN","Grant Number","No of References","Cited References","Language","Advisor","Committee Member","Copyright","Degree Name","Institution Address","Institution","Dissertation and Thesis Subjects","Author Keywords","Indexed Date","UT (Unique ID)","Pubmed Id","...79"
"J","Wu, Panlong; Dai, Piaopiao; Wang, Meina; Feng, Sijie; Olhnuud, Aruhan; Xu, Huanli; Li, Xiang; Liu, Yunhui",NA,NA,NA,"Feng, Sijie/GZL-0018-2022",NA,NA,NA,NA,NA,"Improving Habitat Quality at the Local and Landscape Scales Increases Wild Bee Assemblages and Associated Pollination Services in Apple Orchards in China",NA,NA,NA,NA,NA,NA,NA,"FRONTIERS IN ECOLOGY AND EVOLUTION",NA,NA,NA,"9",NA,NA,NA,NA,NA,"621469",NA,NA,"10.3389/fevo.2021.621469",NA,NA,NA,NA,NA,NA,"Article","MAR 8 2021",2021,"Bees provide key pollination services for a wide range of crops. Accumulating evidence shows the effect of semi-natural habitats at the landscape level and local management practices on bee diversity in fields. However, most of the evidence is derived from studies in North America and Europe. Whether this paradigm is applicable in China, which is characterized by smallholder-dominated agricultural landscapes, has rarely been studied. In this study, we aimed to investigate how bee diversity affected apple production, and how landscape and local variables affected bee diversity and species composition on the Northern China Plain. The results showed that bees significantly increased apple fruit set compared to bagged controls. Wild bee diversity was positively related to apple seed numbers. Higher seed numbers reduced the proportion of deformed apples and thus increased fruit quality. Wild bee abundance was positively correlated with flowering ground cover, and both the abundance and species richness of wild bees were positively affected by the percentage of semi-natural habitats. We conclude that apple quality can benefit from ecological intensification comprising the augmentation of wild bees by semi-natural habitats and flowering ground cover. Future pollination management should therefore reduce the intensification level of management at both the local and landscape scales.",NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0,7,0,8,NA,NA,"2296-701X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China Agr Univ, Coll Resources & Environm Sci, Beijing Key Lab Biodivers & Organ Farming, Beijing, Peoples R ChinaInner Mongolia Univ, Sch Ecol & Environm, Hohhot, Peoples R ChinaChina Agr Univ, Coll Plant Protect, Beijing, Peoples R China",NA,NA,NA,"2021-03-08","WOS:000631207200001",NA,NA
"J","von Koenigsloew, Vivien; Fornoff, Felix; Klein, Alexandra-Maria",NA,NA,NA,"Klein, Alexandra/J-5871-2016; Fornoff, Felix/AAA-3776-2019; von Königslöw, Vivien/HTN-6022-2023","Klein, Alexandra/0000-0003-2139-8575; Fornoff, Felix/0000-0003-0446-7153; von Konigslow, Vivien/0000-0002-6214-6932",NA,NA,NA,NA,"Wild bee communities benefit from temporal complementarity of hedges and flower strips in apple orchards",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF APPLIED ECOLOGY",NA,NA,NA,"59","11",NA,NA,"2814","2824",NA,NA,NA,"10.1111/1365-2664.14277",NA,NA,NA,NA,"SEP 2022",NA,"Article","NOV 2022",2022,"Wild bees importantly pollinate both crop and wild plants. Yet, in intensive agricultural landscapes, wild bees are rare due to resource limitations of nectar and pollen. Flower strips and hedges are often used as resource enhancements for wild bees to overcome this shortage, but provide floral resources only during specific time periods. To sustain diverse and stable bee communities, bee-attractive flowers need to be available during the entire growing season. This may be achieved by combining flower strips and hedges to complement each other and provide continuous floral resources. Over three subsequent years, we compared the phenology of flower and wild bee communities in perennial flower strips, hedges and improved hedges (complemented with a sown herb layer) in conventional apple orchards in Southern Germany, a pollination-dependent crop system. Hedges provided floral resources in the early season while the flower strips took over later in the season. Bees visited the hedges mostly from March to June, whereas they visited the flower strips from June to August in the first year, and in the second year already from April onwards. Flower strips were visited with an overall higher abundance and species richness than both the hedges and the improved hedges. Synthesis and application. For enhancing wild bees in intensive apple orchards, hedges and perennial flower strips are complementary in providing flower resources. Yet, flower strips bloom more constantly and during periods of flower scarcity, and thus attract a higher diversity of bees than hedges. Perennial flower strips of different age classes should be preferred over annual strips, at best in a network with some well-maintained hedges, as perennial flower strips of different age attract different bee communities and thus potentially a higher bee diversity on the landscape level.",NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,6,0,9,NA,NA,"0021-8901","1365-2664",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Freiburg, Nat Conservat & Landscape Ecol, Freiburg, Germany",NA,NA,NA,"2023-09-12","WOS:000859028300001",NA,NA
"J","Jovani, Ruiz-Toledo; Remy, Vandame; Patricia, Penilla-Navarro; Jaime, Gomez; Daniel, Sanchez",NA,NA,NA,"Penilla-Navarro, Rosa Patricia/IYJ-9688-2023; Ruiz-Toledo, Jovani/M-2294-2016; Vandame, Rémy/GPT-0416-2022; Gomez, Jaime/O-1717-2016","Penilla-Navarro, Rosa Patricia/0000-0002-0780-1527; Ruiz-Toledo, Jovani/0000-0001-5733-7235; Vandame, Remy/0000-0001-6931-1067; Gomez, Jaime/0000-0002-9704-9761",NA,NA,NA,NA,"Seasonal abundance and diversity of native bees in a patchy agricultural landscape in Southern Mexico",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"292",NA,NA,NA,NA,NA,"106807",NA,NA,"10.1016/j.agee.2019.106807",NA,NA,NA,NA,NA,NA,"Article","APR 15 2020",2020,"Diversity and abundance of native bees was measured in four sites of an agricultural landscape dominated by soybean crops in Southern Mexico. Bees were sampled from June 2014 to May 2015 using entomological nets along five 500 m long transects in each site. Two sites (S1 and S2) were fully anthropized (100% of urban and agricultural land use) and the two other sites (R1 and R2) were on average less anthropized with 27.5% of forest relicts. Overall, we collected 2115 specimens; the most abundant species were Augochlora (Oxystoglossella) aurifera (12.8%), Trigona fuscipennis (9.2%), and T. fulviventris (8.6%). The highest diversity was observed in June and July (rainy season), in sites S2 and S1. Site S2 had the greatest diversity and abundance (56 species, 885 individuals), followed by S1 (41 species, 577 individuals), R2 (38 species, 289 individuals) and R1 (25 species, 117 individuals). However, rarefaction analysis showed no significant difference among four sites. Compared to studies carried out in protected natural areas with similar climatic conditions, our results suggest that small-scale agriculture in southern Mexico apparently does not affect detrimentally pollinator populations as expected. Thus, this study suggest that the presence of preserved patches contributes to the richness and abundance of bees, due to the maintenance of wild flowers and ruderal plants in patches next to the crop fields, providing a continuous source of pollen, nectar and shelters. Nonetheless, further studies are necessary to examine the connections between the different elements in the agricultural landscape and to understand in depth the response of the pollinator communities.",NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,1,0,4,NA,NA,"0167-8809","1873-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Colegiodela Frontera Unidad Tapachula, Carretera Antiguo Aeropuerto Km 2-5, Tapachula 30700, Chiapas, MexicoEl Colegiodela Frontera Unidad Tapachula, Periferico S-N Maria Auxiliadora, San Cristobaldelas Casas 29290, Chiapas, MexicoInst Nacl Salud Publ, Ctr RegionaldeInvest Salud Publ, Lab Resistencia Insecticidas, 4a Norte & 19 Calle Poniente S-N, Tapachula 30700, Chiapas, Mexico","El Colegiodela Frontera Unidad TapachulaEl Colegiodela Frontera Unidad Tapachula",NA,NA,"2020-04-08","WOS:000514931700004",NA,NA
"J","McGrady, C. M.; Troyer, R.; Fleischer, S. J.",NA,NA,NA,NA,"Strange, James/0000-0002-9612-6868",NA,NA,NA,NA,"Wild Bee Visitation Rates Exceed Pollination Thresholds in Commercial Cucurbita Agroecosystems",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF ECONOMIC ENTOMOLOGY",NA,NA,NA,"113","2",NA,NA,"562","574",NA,NA,NA,"10.1093/jee/toz295",NA,NA,NA,NA,NA,NA,"Article","APR 2020",2020,"Wild bees supply sufficient pollination in Cucurbita agroecosystems in certain settings; however, some growers continue to stock fields with managed pollinators due to uncertainties of temporal and spatial variation on pollination services supplied by wild bees. Here, we evaluate wild bee pollination activity in wholesale, commercial pumpkin fields over 3 yr. We identified 37 species of bees foraging in commercial pumpkin fields. Honey bees (Apis mellifera L. [Hymenoptera: Apidae]), squash bees (Eucera (Peponapis) Say, Dorchin [Hymenoptera: Apidae]), and bumble bees (Bombus spp., primarily B. impatiens Cresson [Hymenoptera: Apidae]) were the most active pollinator taxa, responsible for over 95% of all pollination visits. Preference for female flowers decreased as distance from field edge increased for several bee taxa. Visitation rates from one key pollinator was negatively affected by field size. Visitation rates for multiple taxa exhibited a curvilinear response as the growing season progressed and responded positively to increasing floral density. We synthesized existing literature to estimate minimum `pollination thresholds' per taxa and determined that each of the most active pollinator taxa exceeded these thresholds independently. Under current conditions, renting honey bee hives may be superfluous in this system. These results can aid growers when executing pollination management strategies and further highlights the importance of monitoring and conserving wild pollinator populations.",NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,0,19,0,25,NA,NA,"0022-0493","1938-291X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Penn State Univ, Entomol Dept, 530 Ag Sci & Ind Bldg, University Pk, PA 16801 USANorth Carolina State Univ, Dept Appl Ecol, Raleigh, NC 27695 USARJT Holsteins Dairy Farm, Centerville, PA 16404 USA","RJT Holsteins Dairy Farm",NA,NA,"2020-04-01","WOS:000531510900002",31815283,NA
"J","Hannon, Laura E.; Sisk, Thomas D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hedgerows in an agri-natural landscape: Potential habitat value for native bees",NA,NA,NA,NA,NA,NA,NA,"BIOLOGICAL CONSERVATION",NA,NA,NA,"142","10",NA,NA,"2140","2154",NA,NA,NA,"10.1016/j.biocon.2009.04.014",NA,NA,NA,NA,NA,NA,"Article","OCT 2009",2009,"Recent declines in North American honeybee populations have highlighted the importance of native bee conservation, and the need for research on the ecological requirements of native bees in farmland. In this study, we investigated the value of hedgerows as foraging habitat for native bees in mosaics of small-scale agriculture and natural vegetation in two riparian landscapes in southeast Arizona, USA. In the summers of 2002 and 2003, we surveyed bees and flowers in four habitats: hedgerows, agricultural fields, woodlots, and native woodland. We asked: (1) How do hedgerows compare to other available habitats in bee abundance and species richness? (2) How does bee species composition in hedgerows compare to species composition in agricultural fields and woodland? (3) How do flower resources in hedgerows compare to those in fields and woodland?We found that hedgerows were attractive foraging habitat for native bees, especially in early summer, when hedgerows tended to have higher species richness than other agricultural or natural habitats. Cumulative species richness was highest in agricultural fields, although cumulative species richness did not significantly differ among fields, hedgerows, and woodland. While bee faunas overlapped among habitats, bee assemblages in hedgerows were more similar to those in woodland than to those in fields. The hedgerow herbaceous flora was roughly intermediate to that of fields and woodland; hedgerows also supported high densities of woodland-characteristic shrubs. These flowering shrubs were important in attracting bees that were otherwise uncommon in the landscape, including some species that are potentially valuable pollinators of agricultural crops. (C) 2009 Elsevier Ltd. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,119,3,0,0,99,0,136,NA,NA,"0006-3207","1873-2917",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Arizona Univ, Ctr Environm Sci & Educ, Flagstaff, AZ 86011 USA",NA,NA,NA,"2009-10-01","WOS:000269730500020",NA,NA
"J","Xie, Zhenghua; Shebl, Mohamed A.; Pan, Dongdong; Wang, Jianmin",NA,NA,NA,"wang, jian/GVS-0711-2022; Jiang, Yalin/ITV-2565-2023; Shebl, Mohamed/AAF-6913-2019; wang, jian/HRB-9588-2023","Shebl, Mohamed/0000-0002-4099-9846; Xie, Zhenghua/0000-0001-8407-4063",NA,NA,NA,NA,"Synergistically positive effects of brick walls and farmlands on Anthophora waltoni populations",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURAL AND FOREST ENTOMOLOGY",NA,NA,NA,"22","4",NA,NA,"328","337",NA,NA,NA,"10.1111/afe.12384",NA,NA,NA,NA,"MAY 2020",NA,"Article","NOV 2020",2020,"Some wild bees can persist in human-altered habitats in the face of global wild bee decline. To date, however, little is known about why those bees can tolerate human disturbances. Here we hypothesized that wild bees living in human-altered habitats could achieve their nesting resources and floral resources. Moreover, persistent provision of those resources could enhance their populations.The foraging areas of solitary, cavity-nesting bees Anthophora waltoni were determined in two agricultural ecosystems with rich bee populations. The influences of seminatural habitats, nesting resources and farmlands on A. waltoni visit density were assessed by modelling bee density against landscape factors in 17 agricultural ecosystems. Moreover, temporal availabilities of those resources were measured across the last three decades.A. waltoni used vetch fields and field margins, instead of seminatural habitats, as foraging areas. The area of brick walls and the area of farmlands, as well as their temporal increases, synergistically positively influenced A. waltoni visit density on vetch flowers. The percentage of buildings and farmlands increased across the last three decades in spite of a slowdown in 5-year growth of brick walls.The results demonstrated the synergistically positive effects of nesting resources and floral resources, as well as persistent provisions of those resources, on A. waltoni populations in agricultural ecosystems. A. waltoni could live in the human-altered habitats because they persistently achieved their nesting resources and floral resources.",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,2,NA,NA,"1461-9555","1461-9563",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chinese Acad Forestry, Res Inst Insect Resources, Dept Environm Entomol, Kunming, Yunnan, Peoples R ChinaSuez Canal Univ, Dept Plant Protect, Fac Agr, Ismailia, EgyptYunnan Univ, Dept Stat, Kunming, Yunnan, Peoples R ChinaYunnan Rural Sci & Technol Serv Ctr, Kunming, Yunnan, Peoples R China","Yunnan Rural Sci & Technol Serv Ctr",NA,NA,"2020-05-27","WOS:000532599500001",NA,NA
"J","Albrecht, Matthias; Knecht, Arthur; Riesen, Matthias; Rutz, Theres; Ganser, Dominik",NA,NA,NA,NA,"Albrecht, Matthias/0000-0001-5518-3455",NA,NA,NA,NA,"Time since establishment drives bee and hoverfly diversity, abundance of crop-pollinating bees and aphidophagous hoverflies in perennial wildflower strips",NA,NA,NA,NA,NA,NA,NA,"BASIC AND APPLIED ECOLOGY",NA,NA,NA,"57",NA,NA,NA,"102","114",NA,NA,NA,"10.1016/j.baae.2021.10.003",NA,NA,NA,NA,"NOV 2021",NA,"Article","DEC 2021",2021,"Wildflower strips (WFS) are amongst the most commonly applied measures to promote pollinators and natural enemies of crop pests in agroecosystems. Their potential to enhance these functionally important insect groups may vary substantially with time since establishment of WFS. However, knowledge on their temporal dynamics remains scarce, hampering recommendations for optimized design and management. We therefore examined temporal dynamics of taxonomic and functional groups of bees and hoverflies in perennial WFS ranging from one to >= 6 years since sowing with a standardized species-rich seed mixture of flowering plants in 18 agricultural landscapes in Switzerland. The abundance of wild bees, honeybees and hoverflies declined after the second year by 89%, 62% and 72%, respectively. Declines in bee abundance and hoverfly species richness were linear and those of aphidophagous hoverflies exponential, while wild bee species richness peaked in the third year. Declines over time generally paralleled decreases in flower abundance (-83%) and flowering species richness (-61%) and an increase in grass cover (+70%) in WFS. Flowering plant species richness showed strong positive relationships with dominant crop-visiting wild bees and aphidophagous hoverflies. Furthermore, dominant crop-visiting wild bees, but not aphidophagous hoverflies, were positively related to the proportion of (semi-)open semi-natural habitat in the surrounding landscape (500 m radius), but negatively with forest. We conclude that the effectiveness of perennial WFS to promote pollinator diversity, crop pollinating bees and aphidophagous hoverflies through foraging resources decreases after the first two to three years, probably due to a decline of diverse and abundant floral resources. Although older perennial WFS may still provide valuable nesting and overwintering opportunities for pollinators and natural enemies, our findings indicate that regular re-sowing of perennial WFS may be necessary to maintain adequate floral resource provisioning for effective pollinator conservation and promotion of crop pollination and natural pest control services in agricultural landscapes. (C) 2021 The Authors. Published by Elsevier GmbH on behalf of Gesellschaft fur okologie.",NA,NA,NA,NA,NA,NA,NA,NA,14,1,0,0,11,0,16,NA,NA,"1439-1791","1618-0089",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agroscope, Agroecol & Environm, Reckenholzstr 191, CH-8046 Zurich, SwitzerlandZurich Univ Appl Sci, Inst Nat Resource Sci, Gruentalstr 14, CH-8820 Wadenswil, Switzerland",NA,NA,NA,"2021-12-12","WOS:000724055100002",NA,NA
"J","Meyer, Sandro; Unternahrer, Debora; Arlettaz, Raphael; Humbert, Jean-Yves; Menz, Myles H. M.",NA,NA,NA,"Menz, Myles H. M./AAP-6756-2020; Menz, Myles/A-2238-2017; Menz, Myles/HHZ-9580-2022; Arlettaz, Raphaël/O-2182-2016","Menz, Myles H. M./0000-0002-3347-5411; Menz, Myles/0000-0002-3347-5411; Menz, Myles/0000-0002-3347-5411; Arlettaz, Raphaël/0000-0001-6360-5339; Humbert, Jean-Yves/0000-0002-5756-6748",NA,NA,NA,NA,"Promoting diverse communities of wild bees and hoverflies requires a landscape approach to managing meadows",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"239",NA,NA,NA,"376","384",NA,NA,NA,"10.1016/j.agee.2017.01.037",NA,NA,NA,NA,NA,NA,"Article","FEB 15 2017",2017,"There is ongoing concern regarding the observed decline in pollinator populations. Managing agricultural landscapes through agri-environment schemes (AES) supports biodiversity and could counteract pollinator population declines. We investigated whether alterations to current AES grassland mowing regimes would increase the abundance and species richness of wild bees and hoverflies. Furthermore, we investigated the response of different nesting and feeding guilds of wild bees and hoverfiies, respectively, to these regimes. The three experimental mowing regimes were: (i) first cut not before 15 June, before the beginning of summer (Swiss AES management, control meadows); (ii) first cut delayed until 15 July (delayed meadows); (iii) as for control meadows but leaving 10-20% uncut as a refuge (refuge meadows). The rationale behind the delayed and refuge mowing regimes was extending the availability of floral resources for pollinators, while also providing refugia for species that may be directly impacted by mowing. Hoverflies and wild bees were collected in 2014 and 2015, respectively, using pan-trapping and sweep-netting, once before and once after the first cut. The two collecting methods showed contrasting results. While there was no difference in the abundance or richness of wild bees between the meadows when using pan traps, following the first cut, sweep-netting resulted in a higher abundance and richness of wild bees in delayed and refuge meadows compared to control meadows. Pan-trapping detected a higher abundance of hoverflies in delayed compared to refuge meadows, whereas sweep-netting detected a higher abundance in delayed and refuge compared to control meadows, after the first cut. Saprophagous hoverflies were more abundant in the control and delayed than refuge meadows following the first cut, when sampled with pan traps. Predatory hoverfiies were more abundant and species rich in delayed and refuge compared to control meadows following the first cut, when sampled by sweep netting. Our study demonstrates that simple alterations to a common AES grassland mowing regime can enhance populations of pollinators and natural enemies of crop pests. Furthermore, the contrasting response of the life-history guilds indicates that promoting heterogeneous management practices Within the landscape is important for supporting diverse communities, and maintaining key ecosystem services such as pollination and biocontrol. (C) 2017 Elsevier B.V. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,30,0,0,0,28,0,32,NA,NA,"0167-8809","1873-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Bern, Inst Ecol & Evolut, Div Community Ecol, Baltzerstr 6, CH-3012 Bern, SwitzerlandUniv Bern, Inst Ecol & Evolut, Div Conservat Biol, Baltzerstr 6, CH-3012 Bern, SwitzerlandSwiss Ornithol Inst, Valais Field Stn, Rue Rhone 11, CH-1950 Sion, SwitzerlandUniv Western Australia, Sch Plant Biol, Crawley, WA 6009, Australia",NA,NA,NA,"2017-02-15","WOS:000397550100039",NA,NA
"J","Augustin (Zugravu), Constanta Laura; Zeca, Ecaterina Daniela; Zugravu, Gheorghe Adrian; Abdullah, Norhayati",NA,NA,NA,"Zeca, Daniela Ecaterina/AAA-3832-2022; Zugravu, Gheorghe Adrian I/E-9211-2015","Zugravu, Gheorghe Adrian I/0000-0002-9106-3781",NA,NA,NA,NA,"IMPACT OF CULTIVATION METHOD AND AGRICULTURAL LANDSCAPES ON WILD BEES",NA,NA,NA,NA,NA,NA,NA,"SCIENTIFIC PAPERS-SERIES D-ANIMAL SCIENCE",NA,NA,NA,"64","1",NA,NA,"283","288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article","2021",2021,"The aim of this paper is to present economic impact of cultivation method and optimizing resources. The presence of high quality natural and semi-natural habitats on farms and in agricultural landscapes such as: strips of honey plants interspersed in agricultural crops, wooded areas, living hedges and the edges of grassy fields are essential for the survive al of wild bees. The paper scientifically argues why pollination of agricultural crops should be based primarily on wild bee herds that need to be protected. By integrating beekeeping into aquaponics systems, reducing transhumance is transformed from a compensatory measure of production losses into a measure of increasing productivity and stimulating sustainable economic development with positive effects on environmental resources and thus providing the opportunity to conserve biodiversity.",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,"2285-5750","2393-2260",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dunarea de Jos Univ Galati, 47 Domneasca St, Galati, RomaniaUniv Teknol Malaysia, Malaysia Japan Int Inst Technol, Jalan Sultan Yahya Petra, Kuala Lumpur 54100, Malaysia",NA,NA,NA,"2021-09-02","WOS:000686570700040",NA,NA
"J","Ahrenfeldt, Erica Juel; Kollmann, Johannes; Madsen, Henning Bang; Skov-Petersen, Hans; Sigsgaard, Lene",NA,NA,NA,"Skov-Petersen, Hans/C-8932-2015; Sigsgaard, Lene/F-7182-2014","Skov-Petersen, Hans/0000-0003-3383-7221; Madsen, Henning Bang/0000-0003-2542-3109; Sigsgaard, Lene/0000-0001-6478-5079",NA,NA,NA,NA,"Generalist ground-nesting bees dominate diversity survey in intensively managed agricultural land.",NA,NA,NA,NA,NA,NA,NA,"Journal of Melittology",NA,NA,NA,"82",NA,NA,NA,"1","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article","Jan 23 2019",2019,"In Western Europe agricultural management was intensified in the period 1950-2010 with negative consequences for ecosystem services, such as pollination, especially in countries with a large proportion of agriculture. Farmland represents 66% of the Danish landscape, but little is known about wild bees despite that 75% of the country's wild and cultivated plant species depend on insect pollination. Strawberry (Fragaria x ananassa) gains considerable benefits from insect pollination and abundance, species richness and functional diversity, are all important elements. We surveyed the diversity of wild bees during strawberry flowering by sampling bees with pan-traps along permanent margins bordering strawberry fields on six organic and six conventional farms in eastern Denmark and compared the results of the survey with that of sampling site farming practice and field margin forage availability. The majority of bees sampled were polylectic solitary ground-nesting bees known to forage on species of the rose family. This indicates that these bee species are potential pollinators of strawberries, and the low number of specialized bees suggests that the bee community was affected by the simplified landscapes. Temporal trends in abundance, species richness, and body size of the bees, suggest that the functional diversity of pollinator assemblages available differed for early- and late-flowering strawberries. Fewer plants species and a lower plant cover were found in the margins of sprayed fields. Abundance and diversity of the wild bees were neither correlated with the use of herbicides and insecticides, nor with plant species richness or flowering plant cover.",NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,5,0,6,NA,NA,"2325-4467; 2325-4467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Copenhagen, Fac Sci, Thorvaldsensvej 40, Frederiksberg, DK-1871, Denmark",NA,NA,NA,"2019-02-27","ZOOREC:ZOOR15503018149",NA,NA
"J","Pisanty, Gideon; Mandelik, Yael",NA,NA,NA,"Mandelik, Yael/HZI-4596-2023",NA,NA,NA,NA,NA,"Profiling crop pollinators: life history traits predict habitat use and crop visitation by Mediterranean wild bees",NA,NA,NA,NA,NA,NA,NA,"ECOLOGICAL APPLICATIONS",NA,NA,NA,"25","3",NA,NA,"742","752",NA,NA,NA,"10.1890/14-0910.1",NA,NA,NA,NA,NA,NA,"Article","APR 2015",2015,"Wild pollinators, bees in particular, may greatly contribute to crop pollination and provide a safety net against declines in commercial pollinators. However, the identity, life history traits, and environmental sensitivities of main crop pollinator species have received limited attention. These are crucial for predicting pollination services of different communities and for developing management practices that enhance crop pollinators. We sampled wild bees in three crop systems (almond, confection sunflower, and seed watermelon) in a mosaic Israeli Mediterranean landscape. Bees were sampled in field/orchard edges and interiors, and in seminatural scrub surrounding the fields/orchards. We also analyzed land cover at 50-2500 m radii around fields/orchards. We used this data to distinguish crop from non-crop pollinators based on a set of life history traits (nesting, lecty, sociality, body size) linked to habitat preference and crop visitation. Bee abundance and species richness decreased from the surrounding seminatural habitat to the field/orchard interior, especially across the seminatural habitat-field edge ecotone. Thus, although rich bee communities were found near fields, only small fractions crossed the ecotone and visited crop flowers in substantial numbers. The bee assemblage in agricultural fields/orchards and on crop flowers was dominated by ground-nesting bees of the tribe Halictini, which tend to nest within fields. Bees' habitat preferences were determined mainly by nesting guild, whereas crop visitation was determined mainly by sociality. Lecty and body size also affected both measures. The percentage of surrounding seminatural habitat at 250-2500 m radii had a positive effect on wild bee diversity in field edges, for all bee guilds, while at 50-100 m radii, only aboveground nesters were positively affected. In sum, we found that crop and non-crop pollinators are distinguished by behavioral and morphological traits. Hence, analysis of life-history traits of bee communities can help assess the pollination services they are likely to provide (when taking into account single-visit pollination efficiency). The ecotone between agricultural fields and surrounding habitats is a major barrier that filters many bee species, particularly with regard to their nesting requirements. Thus, greater attention should be given to management practices that encourage pollinators to live and nest, and not only forage, within fields.",NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,0,31,0,39,NA,NA,"1051-0761","1939-5582",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hebrew Univ Jerusalem, Robert H Smith Fac Agr Food & Environm, Dept Entomol, IL-76100 Rehovot, Israel",NA,NA,NA,"2015-04-01","WOS:000351849700014",26214919,NA
